FireNumber,FireName,Longitude,Latitude,DOB,Date,Year,MaxTemp,Precip,MinRH,Wind
R11498,Shovel,-125.96,54.38,208,27/07/2018,2018,32,0,22,10
R11498,Shovel,-125.96,54.38,209,28/07/2018,2018,34,0,20,8
R11498,Shovel,-125.96,54.38,210,29/07/2018,2018,36,0,17,12
R11498,Shovel,-125.96,54.38,211,30/07/2018,2018,34,0,24,10
R11498,Shovel,-125.96,54.38,212,31/07/2018,2018,30,0,22,11
R11498,Shovel,-125.96,54.38,213,01/08/2018,2018,26,0,23,14
R11498,Shovel,-125.96,54.38,214,02/08/2018,2018,25.5,0,19,10
R11498,Shovel,-125.96,54.38,215,03/08/2018,2018,25.5,0,20,13
R11498,Shovel,-125.96,54.38,216,04/08/2018,2018,26,0,28,7
R11498,Shovel,-125.96,54.38,217,05/08/2018,2018,30,0,32,11
R11498,Shovel,-125.96,54.38,218,06/08/2018,2018,29,0,21,7
R11498,Shovel,-125.96,54.38,219,07/08/2018,2018,28.5,0,25,12
R11498,Shovel,-125.96,54.38,220,08/08/2018,2018,31,0,21,10
R11498,Shovel,-125.96,54.38,221,09/08/2018,2018,30,0,23,14
R11498,Shovel,-125.96,54.38,222,10/08/2018,2018,24,0,31,11
R11498,Shovel,-125.96,54.38,223,11/08/2018,2018,23.5,0,20,6
R11498,Shovel,-125.96,54.38,224,12/08/2018,2018,27,0,24,12
R11498,Shovel,-125.96,54.38,225,13/08/2018,2018,27,0,24,12
R11498,Shovel,-125.96,54.38,226,14/08/2018,2018,27.5,0,16,14
R11498,Shovel,-125.96,54.38,227,15/08/2018,2018,22.5,0,22,6
R11498,Shovel,-125.96,54.38,228,16/08/2018,2018,25,0,17,8
R11498,Shovel,-125.96,54.38,229,17/08/2018,2018,26,0,29,14
R11498,Shovel,-125.96,54.38,230,18/08/2018,2018,23,0,31,8
R11498,Shovel,-125.96,54.38,231,19/08/2018,2018,26,0,33,7
R11498,Shovel,-125.96,54.38,232,20/08/2018,2018,27.5,0,24,10
R11498,Shovel,-125.96,54.38,233,21/08/2018,2018,24.5,0,30,13
R11498,Shovel,-125.96,54.38,234,22/08/2018,2018,23.5,0,27,14
R11498,Shovel,-125.96,54.38,235,23/08/2018,2018,22,0,32,10
R21721,Nadina,-125.96,54.38,211,31/07/2018,2018,23.7,0,31,11
R21721,Nadina,-125.96,54.38,212,01/08/2018,2018,26.9,0,30,14
R21721,Nadina,-125.96,54.38,213,02/08/2018,2018,23.7,0,31,10
R21721,Nadina,-125.96,54.38,214,03/08/2018,2018,23.7,0,43,13
R21721,Nadina,-125.96,54.38,215,04/08/2018,2018,23.7,0,30,7
R21721,Nadina,-125.96,54.38,216,05/08/2018,2018,27.6,0,23,11
R21721,Nadina,-125.96,54.38,217,06/08/2018,2018,28.1,0,19,7
R21721,Nadina,-125.96,54.38,218,07/08/2018,2018,28.7,0,20,12
R21721,Nadina,-125.96,54.38,219,08/08/2018,2018,26.5,0,28,10
R21721,Nadina,-125.96,54.38,220,09/08/2018,2018,25.9,0,32,16
R21721,Nadina,-125.96,54.38,221,10/08/2018,2018,24.6,0,21,11
R21721,Nadina,-125.96,54.38,222,11/08/2018,2018,23.5,0,25,7
R21721,Nadina,-125.96,54.38,223,12/08/2018,2018,26.1,0,21,13
R21721,Nadina,-125.96,54.38,224,13/08/2018,2018,27.7,0,23,19
R21721,Nadina,-125.96,54.38,225,14/08/2018,2018,23.9,0,33,14
R21721,Nadina,-125.96,54.38,226,15/08/2018,2018,23.2,0,20,6
R21721,Nadina,-125.96,54.38,227,16/08/2018,2018,26.2,0,29,14
R21721,Nadina,-125.96,54.38,228,17/08/2018,2018,24.2,0,24,15
R21721,Nadina,-125.96,54.38,229,18/08/2018,2018,23.9,0,16,13
R21721,Nadina,-125.96,54.38,230,19/08/2018,2018,24.8,0,22,6
R21721,Nadina,-125.96,54.38,231,20/08/2018,2018,27.4,0,17,10
R21721,Nadina,-125.96,54.38,232,21/08/2018,2018,23.2,0,29,5
R21721,Nadina,-125.96,54.38,233,22/08/2018,2018,23.2,0,31,14
R21721,Nadina,-125.96,54.38,234,23/08/2018,2018,20.6,0,33,16
R11796,Verdun,-125.96,54.38,211,31/07/2018,2018,23.7,0,31,11
R11796,Verdun,-125.96,54.38,212,01/08/2018,2018,26.9,0,30,14
R11796,Verdun,-125.96,54.38,213,02/08/2018,2018,23.7,0,31,10
R11796,Verdun,-125.96,54.38,214,03/08/2018,2018,23.7,0,43,13
R11796,Verdun,-125.96,54.38,215,04/08/2018,2018,23.7,0,30,7
R11796,Verdun,-125.96,54.38,216,05/08/2018,2018,27.6,0,23,11
R11796,Verdun,-125.96,54.38,217,06/08/2018,2018,28.1,0,19,7
R11796,Verdun,-125.96,54.38,218,07/08/2018,2018,28.7,0,20,12
R11796,Verdun,-125.96,54.38,219,08/08/2018,2018,26.5,0,28,10
R11796,Verdun,-125.96,54.38,220,09/08/2018,2018,25.9,0,32,16
R11796,Verdun,-125.96,54.38,221,10/08/2018,2018,24.6,0,21,11
R11796,Verdun,-125.96,54.38,222,11/08/2018,2018,23.5,0,25,7
R11796,Verdun,-125.96,54.38,223,12/08/2018,2018,26.1,0,21,13
R11796,Verdun,-125.96,54.38,224,13/08/2018,2018,27.7,0,23,19
R11796,Verdun,-125.96,54.38,225,14/08/2018,2018,23.9,0,33,14
R11796,Verdun,-125.96,54.38,226,15/08/2018,2018,23.2,0,20,6
R11796,Verdun,-125.96,54.38,227,16/08/2018,2018,26.2,0,29,14
R11796,Verdun,-125.96,54.38,228,17/08/2018,2018,24.2,0,24,15
R11796,Verdun,-125.96,54.38,229,18/08/2018,2018,23.9,0,16,13
R11796,Verdun,-125.96,54.38,230,19/08/2018,2018,24.8,0,22,6
R11796,Verdun,-125.96,54.38,231,20/08/2018,2018,27.4,0,17,10
R11796,Verdun,-125.96,54.38,232,21/08/2018,2018,23.2,0,29,5
R11796,Verdun,-125.96,54.38,233,22/08/2018,2018,23.2,0,31,14
R11796,Verdun,-125.96,54.38,234,23/08/2018,2018,20.6,0,33,16
R11921,Island,-125.96,54.38,208,27/07/2018,2018,32,0,22,10
R11921,Island,-125.96,54.38,209,28/07/2018,2018,34,0,20,8
R11921,Island,-125.96,54.38,210,29/07/2018,2018,36,0,17,12
R11921,Island,-125.96,54.38,211,30/07/2018,2018,34,0,24,10
R11921,Island,-125.96,54.38,212,31/07/2018,2018,30,0,22,11
R11921,Island,-125.96,54.38,213,01/08/2018,2018,26,0,23,14
R11921,Island,-125.96,54.38,214,02/08/2018,2018,25.5,0,19,10
R11921,Island,-125.96,54.38,215,03/08/2018,2018,25.5,0,20,13
R11921,Island,-125.96,54.38,216,04/08/2018,2018,26,0,28,7
R11921,Island,-125.96,54.38,217,05/08/2018,2018,30,0,32,11
R11921,Island,-125.96,54.38,218,06/08/2018,2018,29,0,21,7
R11921,Island,-125.96,54.38,219,07/08/2018,2018,28.5,0,25,12
R11921,Island,-125.96,54.38,220,08/08/2018,2018,31,0,21,10
R11921,Island,-125.96,54.38,221,09/08/2018,2018,30,0,23,14
R11921,Island,-125.96,54.38,222,10/08/2018,2018,24,0,31,11
R11921,Island,-125.96,54.38,223,11/08/2018,2018,23.5,0,20,6
R11921,Island,-125.96,54.38,224,12/08/2018,2018,27,0,24,12
R11921,Island,-125.96,54.38,225,13/08/2018,2018,27,0,24,12
R11921,Island,-125.96,54.38,226,14/08/2018,2018,27.5,0,16,14
R11921,Island,-125.96,54.38,227,15/08/2018,2018,22.5,0,22,6
R11921,Island,-125.96,54.38,228,16/08/2018,2018,25,0,17,8
R11921,Island,-125.96,54.38,229,17/08/2018,2018,26,0,29,14
R11921,Island,-125.96,54.38,230,18/08/2018,2018,23,0,31,8
R11921,Island,-125.96,54.38,231,19/08/2018,2018,26,0,33,7
R11921,Island,-125.96,54.38,232,20/08/2018,2018,27.5,0,24,10
R11921,Island,-125.96,54.38,233,21/08/2018,2018,24.5,0,30,13
R11921,Island,-125.96,54.38,234,22/08/2018,2018,23.5,0,27,14
R11921,Island,-125.96,54.38,235,23/08/2018,2018,22,0,32,10
