FireName,FireNumber,ImageDate1,ImageDate2,PrePost_Fire,Satellite,Path_RoworTile,CloudCover,FireEndDate
Plateau Complex,C10784,06-Sep-14,06/09/2014,Pre-fire,Landsat 8,48_23,0.03,01-Sep-17
Plateau Complex,C10784,06-Sep-14,06/09/2014,Pre-fire,Landsat 8,48_24,1.71,01-Sep-17
Plateau Complex,C10784,11-Jul-14,11/07/2014,Pre-fire,Landsat 8,49_23,0.31,01-Sep-17
Plateau Complex,C10784,12-May-18,12/05/2018,Post-fire,Landsat 8,48_23,0.81,01-Sep-17
Plateau Complex,C10784,12-May-18,12/05/2018,Post-fire,Landsat 8,48_24,2.93,01-Sep-17
Plateau Complex,C10784,07-Aug-18,07/08/2018,Post-fire,Landsat 8,49_23,3.27,01-Sep-17
Kluskoil Lake,C10970,17-Aug-16,17/08/2016,Pre-fire,Landsat 8,49_23,0.18,01-Sep-17
Kluskoil Lake,C10970,07-Aug-18,07/08/2018,Post-fire,Landsat 8,49_23,3.27,01-Sep-17
Shag Creek,C11837,26-Jul-18,26/07/2018,Pre-fire,Sentinel 2,T09UYU,0.23,31-Aug-18
Shag Creek,C11837,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCD,0.26,31-Aug-18
North Baezaeko,C11937,23-Jun-18,23/06/2018,Pre-fire,Sentinel 2,T10UDD,0.52,15-Sep-18
North Baezaeko,C11937,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UDD,0,15-Sep-18
Wildwood,C20729,19-Apr-16,19/04/2016,Pre-fire,Landsat 8,47_24,0.47,31-Aug-17
Wildwood,C20729,29-Aug-17,29/08/2017,Post-fire,Landsat 8,48_24,10.32,31-Aug-17
White Lake,C20735,19-Aug-16,19/08/2016,Pre-fire,Landsat 8,47_24,0.47,15-Aug-18
White Lake,C20735,29-Aug-17,29/08/2017,Post-fire,Landsat 8,48_24,10.32,15-Aug-18
Hanceville Riske Creek,C50647,07-Jul-15,07/07/2015,Pre-fire,Landsat 8,48_24,10.99,12-Sep-17
Hanceville Riske Creek,C50647,29-Aug-17,29/08/2017,Post-fire,Landsat 8,48_24,10.32,12-Sep-17
Kleena Kleene,C50744,24-Aug-16,24/08/2016,Pre-fire,Landsat 8,50_24,6.82,15-Sep-17
Kleena Kleene,C50744,28-Sep-17,28/09/2017,Post-fire,Landsat 8,50_24,21.96,15-Sep-17
Chutanli,G41607,12-May-18,12/05/2018,Pre-fire,Sentinel 2,T10UCE,0,15-Sep-18
Chutanli,G41607,12-May-18,12/05/2018,Pre-fire,Sentinel 2,T10UDE,0,15-Sep-18
Chutanli,G41607,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCE,0.73,15-Sep-18
Chutanli,G41607,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UDE,0.44,15-Sep-18
Tezzeron,G51632,26-Jul-18,26/07/2018,Pre-fire,Sentinel 2,T10UCF,0.76,15-Sep-18
Tezzeron,G51632,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCF,0.01,15-Sep-18
Elephant Hill,K20637,13-Sep-16,13/09/2016,Pre-fire,Landsat 8,46_24,0.49,05-Sep-18
Elephant Hill,K20637,13-Sep-16,13/09/2016,Pre-fire,Landsat 8,46_25,0.31,05-Sep-18
Elephant Hill,K20637,22-Aug-17,22/08/2017,Post-fire,Landsat 8,47_24,8.04,05-Sep-18
Elephant Hill,K20637,22-Aug-17,22/08/2017,Post-fire,Landsat 8,47_25,4.11,05-Sep-18
Shovel Lake,R11498,24-Aug-16,24/08/2016,Pre-fire,Landsat 8,50_22,5.88,07-Dec-18
Shovel Lake,R11498,13-May-19,13/05/2019,Post-fire,Landsat 8,50_22,3.5,07-Dec-18
Shovel Lake,R11498,12-May-18,12/05/2018,Pre-fire,Sentinel 2,,,
Shovel Lake,R11498,29-Sep-19,29/09/2019,Post-fire,Sentinel 2,,,
Verdun,R11796,16-Jun-18,16/06/2018,Pre-fire,Sentinel 2,T10UCE,0.06,07-Dec-18
Verdun,R11796,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCE,0.73,07-Dec-18
Island Lake,R11921,16-Jul-18,16/07/2018,Pre-fire,Sentinel 2,T09UYV,0.27,07-Dec-18
Island Lake,R11921,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCE,0.73,07-Dec-18
Baldface Mountain,R12594,07-Aug-18,07/08/2018,Pre-fire,Sentinel 2,T09UYU,0.02,31-Aug-18
Baldface Mountain,R12594,07-Aug-18,07/08/2018,Pre-fire,Sentinel 2,T10UDD,0,31-Aug-18
Baldface Mountain,R12594,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCD,0.26,31-Aug-18
Baldface Mountain,R12594,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UDD,0,31-Aug-18
Nadina,R21721,24-Jul-18,24/07/2018,Pre-fire,Sentinel 2,T09UXV,1.72,31-Aug-18
Nadina,R21721,22-Sep-18,22/09/2018,Post-fire,Sentinel 2,T09UXV,26.52,31-Aug-18
Lejac,G40226,09-May-19,09/05/2019,Pre-fire,Sentinel 2,T09UYV,17.41,15-May-19
Lejac,G40226,07-Aug-19,07/08/2019,Post-fire,Sentinel 2,T10UCE,0,15-May-19
Pondosy Bay,R12068,12-May-18,12/05/2018,Pre-fire,Sentinel 2,T09UXV,0.2,31-Aug-18
Pondosy Bay,R12068,04-Sep-18,04/09/2018,Post-fire,Sentinel 2,T09UXV,2.99,31-Aug-18
Tesla Lake,R12315,16-Jul-18,16/07/2018,Pre-fire,Sentinel 2,T09UXU,2.53,31-Aug-18
Tesla Lake,R12315,26-Jul-18,26/07/2018,Pre-fire,Sentinel 2,T09UYV,0.29,31-Aug-18
Tesla Lake,R12315,26-Jul-18,26/07/2018,Pre-fire,Sentinel 2,T09UYU,0.23,31-Aug-18
Tesla Lake,R12315,03-Aug-17,03/08/2017,Pre-fire,Sentinel 2,T09UXU,0,31-Aug-18
Tesla Lake,R12315,29-Oct-17,29/10/2017,Pre-fire,Sentinel 2,T09UXV,0.11,31-Aug-18
Tesla Lake,R12315,04-Oct-18,04/10/2018,Post-fire,Sentinel 2,T09UXU,0.1,31-Aug-18
Tesla Lake,R12315,04-Oct-18,04/10/2018,Post-fire,Sentinel 2,T10UCE,2.14,31-Aug-18
Tesla Lake,R12315,04-Oct-18,04/10/2018,Post-fire,Sentinel 2,T10UCD,2.43,31-Aug-18
Tesla Lake,R12315,04-Oct-18,04/10/2018,Post-fire,Sentinel 2,T09UXV,0.12,31-Aug-18
Alkali Lake,R91947,25-Jul-18,25/07/2018,Pre-fire,Sentinel 2,T09VUE,9.83,31-Aug-18
Alkali Lake,R91947,18-Sep-18,18/09/2018,Post-fire,Sentinel 2,T09VUE,0.34,31-Aug-18
Ramsay Creek,VA1787,16-Jun-18,16/06/2018,Pre-fire,Sentinel 2,T09UXU,0.03,31-Aug-18
Ramsay Creek,VA1787,16-Jun-18,16/06/2018,Pre-fire,Sentinel 2,T10UCD,0.65,31-Aug-18
Ramsay Creek,VA1787,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T09UXU,1.52,31-Aug-18
Ramsay Creek,VA1787,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCD,0.26,31-Aug-18
Dean River,VA1964,16-Jul-18,16/07/2018,Pre-fire,Sentinel 2,T09UXU,0.03,31-Aug-18
Dean River,VA1964,16-Jul-18,16/07/2018,Pre-fire,Sentinel 2,T10UCD,0.65,31-Aug-18
Dean River,VA1964,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T09UXU,1.52,31-Aug-18
Dean River,VA1964,29-Sep-18,29/09/2018,Post-fire,Sentinel 2,T10UCD,0.26,31-Aug-18
Little Bobtail Lake,G10037,09-Apr-15,09/04/2015,Pre-fire,Landsat 8,49_23,0.22,26-May-15
Little Bobtail Lake,G10037,28-Jun-15,28/06/2015,Post-fire,Landsat 8,49_23,0.12,26-May-15
