"OPENING_ID","PlantAge","Reburn","High","Low","Medium","Unburned","DecVRICov","ConVRICov","PineVRICov","FirVRICov","SpruVRICov","DFirVRICov","CanopCloVRI","AgeVRI","HeightVRI","BA_VRI","Mn_dNBR","Spaced","Brushed","SitePrepped","Fertil","Prune","Planted","NumDenuda","HarvType","SurIM-Con","SurM-50_50","SurM-Con","SurCrClos","SurBA","SurM-75Pine","SurM-PineMix","Sur-Low","Sur-Medium","Sur-Unburned","sur_dNBR","Sur-AgeCl-1","Sur-AgeCl-3","SurM-75Con","SurNA-NF","SurY-50_50","SurY-Con","SurM-Pine","Sur-High","Sur-AgeCl-2","SurIM-50_50","SurY-75Con","SurIM-75Con","TotArea","Md_DOB","DEM_Slop","DEM_Asp","DEM_tpi","DEM_hli"
-633850000,21,0,0,0.0997498504765111,0.023973714682078,0.876276434841411,10.1428571428571,89.8571428571429,32.3809523809524,0.952380952380952,88.9047619047619,0,35.7142857142857,114.904761904762,17.7809523809524,18.9809834761905,-0.0194776328280568,0,0,1,0,0,1,1,"CC",0.15860190520879,0.011978389138923,0.829419705652287,32.5454545454545,32.5454545454545,0.247345193412428,0.487908406945943,0.369529080427673,0.411366094854402,0.219104824717925,0.0951167866587639,0.00463883783333031,0.128630949135985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198728.66496071,218,0.0968586375614807,2.53959031863358,254.632149884801,0.585948419807378
-631050000,24,0,0,0,0,1,25.4545454545455,74.5454545454545,44.5545454545455,0,74.5454545454545,0,23.0909090909091,77.8181818181818,13.7,9.73286554545455,-0.0173314828425646,0,1,1,0,0,1,1,"CC",0.123207017127389,0.080860302270273,0.35738919734492,22.0714285714286,22.0714285714286,NA,0.332548223794935,0.159217171414978,0.0196857109470956,0.821097117637927,0.0115647707134485,0.0771999962639263,NA,0.0867816109520649,0.00513253561954229,0.210123016979216,0.136506319706594,0.11162258450205,NA,NA,NA,NA,NA,524463.796141313,220,0.0754823338645845,2.3740986597131,261.196946235552,0.563752026998833
-631010000,27,0,0,0.0820724843459054,0.0182791273504827,0.899648388303612,8.5,91.5,50,1,90.5,0,25.8,98.7,14.9,15.4765,-0.0230201855301857,0,1,1,0,0,1,1,"PC",0.2362104711626,NA,0.697561209777136,21.625,21.625,0.00471738482664991,0.37194182207631,0.491003723952643,0.159828790138434,0.349167485908923,0.0738023035228252,NA,NA,NA,0.00517589167931634,NA,0.0610524273809472,0.320902002874176,NA,NA,NA,NA,NA,355951.955856346,220,0.073615637426913,2.73049793693744,265.766606970678,0.57243456568899
-470640000,20,0,0,0.347012847828642,0.169891903583755,0.483095248587603,4.05,95.95,66.9,1.5,27.55,0,18.4,70.6,14.38,8.611051,0.0250560762360692,0,1,1,0,0,1,1,"CC",0.678800059191788,NA,0.261677081132406,19.375,19.375,0.0667338622804123,0.120120793232638,0.468657027608107,0.317601010487627,0.213741961904266,0.0537816844880581,0.0121053130615915,NA,NA,NA,NA,0.0595228596758052,NA,NA,NA,NA,NA,NA,345497.023823809,216,0.127867767448596,4.30545131656084,276.861368382231,0.636723598425693
-470630000,26,0,0,0.19545898076052,0.289285888685902,0.515255130553578,0,83.3333333333333,51.3333333333333,0,32,0,18.2777777777778,69.1666666666667,12.3722222222222,9.354448,0.0456775911152363,0,0,1,0,0,1,1,"CC",0.657051700947288,NA,0.217103833393561,20.3,20.3,NA,0.0681986074068578,0.277366937649918,0.564573340759356,0.158059721590725,0.0923825800418854,0.0155575401346164,NA,NA,0.12584446565915,NA,NA,0.0765748723769041,NA,NA,NA,NA,NA,141990.852063482,217,0.101451426619992,4.1460179476618,263.625960823875,0.621325291552634
1424,20,0,9.62064939985398e-05,0.13788525526436,0.0863533182653827,0.775665219976259,0,88.2352941176471,63.2941176470588,0,24.9411764705882,0,18.5294117647059,76.9411764705882,12.2470588235294,8.07188047058824,-0.0241790246218443,1,0,1,0,0,1,1,"CC",0.82865927551399,NA,0.107420959140121,21.1363636363636,21.1363636363636,NA,NA,0.191033730126905,0.541608461243872,0.24772152230916,0.082251250743866,NA,NA,NA,0.0551994375829463,NA,0.00872032776294214,0.107420959140121,0.0196362863200628,NA,NA,NA,NA,462085.488904878,217,0.0696156015533065,3.33186785866727,268.607781038826,0.57653368347545
7285,18,0,0,0.349794102257992,0.0233970459378766,0.626808851804131,0,75,49.25,0,25.75,0,17.375,108.5,17.3125,11.486597375,0.0206411024555564,0,0,0,0,0,1,1,"CC",0.509039110616697,NA,0.43449607109003,16.1,16.1,NA,0.216804587680087,0.481696061491987,0.238108797527732,0.280195140980281,0.0584635175764561,NA,NA,NA,0.0564648182932728,NA,NA,0.217691483409943,NA,0.0564648231891829,NA,NA,NA,209692.413448839,223,0.0760210555207235,2.56747057232536,275.425829206194,0.579733831291439
7286,19,0,0,0.179867925048215,0.00407924859397447,0.81605282635781,0,80,53.7,0,26.3,0,22.3,104.4,17.13,14.2463969,-0.0120119964703918,0,0,1,0,0,1,1,"CC",0.41781436895868,NA,0.538721348875938,24.6666666666667,24.6666666666667,0.222018815187448,NA,0.360573712390754,0.119930255658441,0.519496031950804,0.00430667074397206,NA,NA,NA,0.0434642821653815,NA,NA,0.0886124167068084,NA,0.0434642859453384,NA,NA,NA,302445.113083017,223,0.121453905947288,3.56082301981837,272.987141069159,0.652586258678551
29268,23,0,0,0.0890036875188064,0.00155308061092639,0.909443231870267,14.4444444444444,85.5555555555556,23.8888888888889,0,85.5555555555556,0,31.5555555555556,90,17.4444444444444,16.8260368888889,0.0191644076257944,0,1,1,0,0,1,1,"CC",0.45462840203703,0.0270799092409263,0.464663075638778,30.6666666666667,30.6666666666667,NA,0.195976023945316,0.267537824549156,0.158341024785785,0.574121150665058,0.0827056765556335,0.148129179986755,0.293288350463038,NA,NA,NA,NA,0.188019479394401,NA,NA,0.0536286130832663,NA,NA,552036.761966035,215,0.0974671131653351,2.8668939713629,246.770188854587,0.602173763417429
29270,23,0,0,0.0571188561837224,0.0514461865270188,0.891434957289259,4,96,15.6666666666667,0,96,0,23.8666666666667,129.333333333333,14.5133333333333,11.3266045333333,-0.00284695834852755,0,1,1,0,0,1,1,"CC",0.00771996668966626,NA,0.975085358061498,20.2105263157895,20.2105263157895,0.0280394353144508,0.694778464134721,0.399359749679985,0.239376767378751,0.361263482941264,0.0963554382324219,0.125542972120787,NA,NA,0.00864041712207905,NA,0.00855425812675658,NA,NA,NA,NA,NA,NA,1016315.98544245,215,0.0685100374279742,2.63476058652056,253.738845798189,0.572107518035754
29271,23,0,0,0.0585832643297407,0.00668577511260687,0.934730960557652,9.11764705882353,90.8823529411765,27.6470588235294,0,90.8823529411765,0,33.5294117647059,117.470588235294,15.6764705882353,17.548616,-0.0106277717277408,0,1,1,0,0,1,1,"CC",0.0553137288835773,0.0800475129183085,0.824591535326357,25.7037037037037,25.7037037037037,0.219509759023249,0.498193757593555,0.519058536732446,0.169637208970431,0.311304254297123,0.0874210000038147,0.141201311917209,NA,0.0166448136274312,0.00612475558158,0.017277653662746,NA,0.0122288345820551,NA,NA,NA,NA,NA,1049247.08458862,215,0.0786112914024413,2.90449492655028,256.906565016784,0.584787493606783
29272,25,0,0,0.0335637175088225,0.00325756737837624,0.963178715112801,7,93,43.5,0,91.5,0,25.6,106.9,14.56,12.719348,-0.0271909404546022,0,0,1,0,0,1,1,"CC",0.162394409748795,NA,0.767173025679145,24.7142857142857,24.7142857142857,0.204451112953237,0.408551978167212,0.493562996468872,0.175969812028684,0.330467191502444,0.0756230279803276,NA,NA,3.33345036024586e-05,NA,NA,0.0703992300684583,0.0662234978462152,NA,NA,NA,NA,NA,776772.307833044,222,0.0612799317026576,2.8975989564793,264.055614253833,0.577915791478507
75538,17,0,0,0.306984567258475,0.0114717106796498,0.681543722061875,5,75,44.5,0,70.5,0,19.6,51.6,7.29,6.618547,-0.00191142008407041,0,1,1,0,0,1,1,"CC",0.0540086084183535,0.029426895045405,0.559471944290182,23.5294117647059,23.5294117647059,0.2694989491203,0.228164754126532,0.325787273417452,0.126830198270992,0.547382528311557,0.0162461223080754,NA,NA,0.0130176696540372,0.16048005972749,NA,0.16247015918204,0.00564054440164222,NA,NA,NA,0.0211246636824919,NA,450320.54630682,218,0.081015994768612,2.99588269340411,264.980001150084,0.613422292482782
75542,18,0,0,0.18104595344628,0.10306027367386,0.71589377287986,7.08333333333333,92.9166666666667,47.5,0,89.1666666666667,0,15.9166666666667,77.1666666666667,10.2583333333333,4.97189,0.0343844331800938,0,0,0,0,0,1,1,"CC",0.096484615396954,NA,0.54674392042088,18.1875,18.1875,0.0138203975198843,0.323075882733259,0.489961840139445,0.00717804823137777,0.502860111629177,0.0585611835122108,0.0220177582588459,NA,0.00573156048021829,0.00466700592491311,NA,0.346372897777035,0.0554017501248811,NA,NA,NA,NA,NA,524729.982129298,216,0.059302701556291,3.01113639591325,262.237179278512,0.581431742814871
75545,18,0,0,0.139182142763723,0.0198467206499331,0.840971136586344,13.7058823529412,86.2941176470588,32.4705882352941,0,86.2941176470588,0,24.4705882352941,109,14.3647058823529,11.5909270588235,0.0112066306173801,0,0,0,0,0,1,1,"CC",NA,NA,0.794279333958333,23.2608695652174,23.2608695652174,NA,0.31089055936175,0.352963680359084,0.0681963003227294,0.578840019318186,0.0433501321822405,0.152429192555602,NA,NA,NA,0.0266912213786564,0.0467053577500057,0.14219598421972,NA,NA,NA,0.132324086913005,NA,644564.499866983,213,0.0627913031441923,2.74313598663384,257.152799970648,0.580570218268405
75548,18,0,0,0.155091759731259,0.0444388844002091,0.800469355868532,15.5,84.5,33,0,84.5,0,17,93.7,15.25,7.3792539,0.0215925630182028,0,0,0,0,0,1,1,"CC",NA,0.0283834939215322,0.626339836208133,17.9411764705882,17.9411764705882,NA,0.539429324528569,0.476911579503261,0.0190830806897216,0.504005339807017,0.069017618894577,0.190811836583145,NA,NA,NA,NA,0.345276669870334,NA,NA,NA,NA,NA,NA,483479.165807451,199,0.0474555761927617,2.99638540854799,256.937719612478,0.583313488403213
75549,18,0,0,0.403367762019926,0.178437895242799,0.418194342737275,10.625,89.375,29.69375,0,89.375,0,26.5,103.625,14.55,10.662543125,0.0768164098262787,0,0,0,0,0,1,1,"CC",0.3816189195791,0.0453247473281022,0.556660910535072,26.3333333333333,26.3333333333333,NA,0.426516174048934,0.536142612953896,0.268670049488375,0.195187337557728,0.117336522787809,0.0997084540548842,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0163954225577257,NA,627650.617812435,213,0.0653925865677812,2.75809929771721,250.987819064125,0.578081054786699
108518,10,0,0,0.0494125315366928,0,0.950587468463307,16.5,83.5,69.3333333333333,0,83.5,0,23.6666666666667,55.6666666666667,8.63333333333333,6.83941633333333,-0.00882725557312369,0,1,1,0,0,1,1,"CC",NA,NA,0.372015210470939,23.4444444444444,23.4444444444444,NA,0.110891596586493,0.217790682259495,NA,0.782209317740505,0.0397652611136436,0.199133740489177,NA,NA,NA,NA,0.495769013957543,0.253703066496742,NA,0.303560511721485,NA,0.132215775571518,NA,155614.517111652,213,0.0578011300029426,2.06079322633858,257.084770465719,0.571194641206456
117303,10,0,0,0.166325451810194,0.00611962854739527,0.82755491964241,4.73684210526316,95.2631578947368,58.4736842105263,0,76.7894736842105,0,16.8421052631579,88.1578947368421,13.4210526315789,6.85768578947368,0.00848269928246737,0,0,1,0,0,1,1,"CC",0.0924593465195595,NA,0.74393457548944,16.5185185185185,16.5185185185185,0.0961964376775577,0.247721619098096,0.447823021621748,0.133360070933299,0.418816907444953,0.0968595966696739,0.246028228585242,NA,NA,NA,NA,0.163606077991001,0.255591378265838,NA,0.131074613804475,NA,NA,NA,525520.140578586,199,0.0739559529046171,2.83022027600436,255.968704145649,0.583845124943293
1504590,3,0,0,0,0,1,0,88.8888888888889,65.5555555555556,0,25.5555555555556,0,41.1111111111111,121.333333333333,18.5888888888889,24.6126951111111,0.00699788518249989,0,0,0,0,0,1,2,"CC",0.656980591114108,NA,0.283560552797504,34.1176470588235,34.1176470588235,0.0857510520096298,0.0649754706393305,NA,NA,1,0.00303688179701567,NA,NA,NA,0.0594588560883879,NA,NA,0.132834030148544,NA,NA,NA,NA,NA,658159.66397439,216,0.125282306607594,3.79128529218573,337.360485399646,0.642768481810018
1565335,2,0,0,0.438790256435123,0.0406903629543773,0.520519380610499,2.14285714285714,81.1904761904762,62.5,0,18.6904761904762,0,44.2857142857143,105.261904761905,18.1119047619048,24.8180243095238,0.0830598101019859,0,0,0,0,0,1,3,"CC",0.119032448303862,NA,0.734808569340372,40.2127659574468,40.2127659574468,0.0297474501168712,0.0553323568209298,0.41142769308379,0.334169618881608,0.254402688034602,0.0887686610221863,NA,NA,NA,0.146158982355765,NA,NA,0.618872458783221,NA,NA,NA,NA,NA,5603568.91267866,216,0.120196086114502,4.02835735600166,268.287641375004,0.606610490035296
1596462,4,0,0,0.660966829634121,0.337817031264882,0.00121613910099773,2.75,97.25,64,2.5,30.75,0,25,67.75,14.35,10.28296225,0.100610464811325,0,0,1,0,0,0,1,"CC",0.884235337986212,NA,0.021724179117426,26.1666666666667,26.1666666666667,NA,0.021724179117426,0.780060140033869,0.169182150482973,0.050757709483158,0.0766605362296104,NA,NA,NA,NA,NA,0.0940404828963625,NA,NA,0.0940404828966571,NA,NA,NA,141706.765681356,216,0.174170100147937,3.70225981086682,286.788674518561,0.685125143664658
1646390,3,0,0,0.574506806416704,0.131393706958799,0.294099486624497,12.4,87.6,26.6,0,61,0,19.2,107.4,19.16,10.5161324,0.06790991127491,0,0,1,0,0,0,1,"CC",0.576584119445479,0.00164743472891974,0.0483939416971226,15.7272727272727,15.7272727272727,NA,0.258125492514414,0.521477545343334,0.107147177277779,0.371375277378887,0.0379073806107044,0.11190632762873,NA,0.208084116088371,0.165290388040107,NA,NA,NA,NA,NA,NA,NA,NA,1078210.00838208,217,0.137325532222323,2.91005862397618,257.185668280776,0.613023918153253
1646404,3,0,0,0.212587360731567,0,0.787412639268433,0,100,100,0,0,0,7,91,14.2,2.18955,0.0381566807627678,0,0,1,0,0,0,1,"CC",0.546774717493412,NA,0.0705180139861737,6,6,NA,0.0705180139861737,0.16879809148709,0.069170864413855,0.762031044099055,0.00217211944982409,NA,NA,NA,0.382707268520414,NA,NA,NA,NA,NA,NA,NA,NA,36936.2845460763,223,0.171982706166231,4.8336958701794,263.384134928385,0.671281481400514
